Frame_Index,CLIP_Similarity,Is_Train_Frame
0,0.987949,True
1,0.99301,True
2,0.993252,True
3,0.99305,True
4,0.991758,True
5,0.994055,True
6,0.994581,True
7,0.994183,True
8,0.993557,True
9,0.990448,False
10,0.994361,False
11,0.993959,False
12,0.993721,False
13,0.993362,False
14,0.989387,True
15,0.993406,True
16,0.993972,True
17,0.993576,True
18,0.993018,True
19,0.990979,True
20,0.993352,True
21,0.993753,True
22,0.993426,True
23,0.993248,False
24,0.989172,False
25,0.993877,False
26,0.993516,False
27,0.99367,False
28,0.992602,True
29,0.991193,True
30,0.99338,True
31,0.994134,True
32,0.993643,True
33,0.993349,True
34,0.988656,True
35,0.993058,True
36,0.993785,True
37,0.99405,False
38,0.993504,False
39,0.990811,False
40,0.992505,False
41,0.992448,False
42,0.992945,True
43,0.991894,True
44,0.989866,True
45,0.993537,True
46,0.993148,True
47,0.992072,True
48,0.991801,True
49,0.985874,True
50,0.991664,True
51,0.99248,False
52,0.991744,False
53,0.992595,False
54,0.989921,False
55,0.993138,False
56,0.992926,True
57,0.99143,True
58,0.992395,True
59,0.978546,True
60,0.990491,True
61,0.993416,True
62,0.993677,True
63,0.992393,True
64,0.990299,True
65,0.993461,False
66,0.994159,False
67,0.993662,False
68,0.993812,False
69,0.98993,False
70,0.993973,True
71,0.993813,True
72,0.992847,True
73,0.993284,True
74,0.991412,True
75,0.992812,True
76,0.992348,True
77,0.993338,True
78,0.993798,True
79,0.99163,False
80,0.993283,False
81,0.993156,False
82,0.993598,False
83,0.993291,False
84,0.990241,True
85,0.993333,True
86,0.993822,True
87,0.99382,True
88,0.99306,True
89,0.991541,True
90,0.993301,True
91,0.992374,True
92,0.992398,True
93,0.99264,False
94,0.987304,False
95,0.99099,False
96,0.992891,False
97,0.992736,False
98,0.992425,True
99,0.990237,True
100,0.993595,True
101,0.993413,True
102,0.994287,True
103,0.994395,True
104,0.991902,True
105,0.993253,True
106,0.992409,True
107,0.992461,False
108,0.993303,False
109,0.992659,False
110,0.993907,False
111,0.994023,False
112,0.993061,True
113,0.993759,True
114,0.99307,True
115,0.994286,True
116,0.993206,True
117,0.993419,True
118,0.99358,True
119,0.992352,True
120,0.993332,True
121,0.994166,False
122,0.993872,False
123,0.994231,False
124,0.99207,False
125,0.993614,False
126,0.993679,True
127,0.993391,True
128,0.99304,True
129,0.991136,True
130,0.992407,True
131,0.992565,True
132,0.990685,True
133,0.991205,True
134,0.988257,True
135,0.993442,False
136,0.99173,False
137,0.993747,False
138,0.992359,False
139,0.989443,False
140,0.992388,True
141,0.993056,True
142,0.99302,True
143,0.992864,True
144,0.989375,True
145,0.993147,True
146,0.993291,True
147,0.99319,True
148,0.992478,True
149,0.982218,False
150,0.989856,False
151,0.992402,False
152,0.992482,False
153,0.993334,False
154,0.991857,True
155,0.99387,True
156,0.993533,True
157,0.994947,True
158,0.994823,True
159,0.991656,True
160,0.99432,True
161,0.994366,True
162,0.994368,True
163,0.993908,False
164,0.992286,False
165,0.994618,False
166,0.994558,False
167,0.994414,False
168,0.99463,True
169,0.992864,True
170,0.993131,True
171,0.995008,True
172,0.994176,True
173,0.994169,True
174,0.992606,True
175,0.993902,True
176,0.994117,True
177,0.994717,False
178,0.993577,False
179,0.992225,False
180,0.993697,False
181,0.994098,False
182,0.994329,True
183,0.994414,True
184,0.992388,True
185,0.993923,True
186,0.994142,True
187,0.9939,True
188,0.994227,True
189,0.992675,True
190,0.993833,True
191,0.993439,False
