[2025/12/01 01:42:47] Epoch[8/300], Step[1/173], lr:3.10e-04, PSNR:17.91, pixel_loss:0.1568, clip_loss:0.0000, total_loss:0.1568 [WARMUP]
[2025/12/01 01:43:05] Epoch[8/300], Step[51/173], lr:3.19e-04, PSNR:17.43, pixel_loss:0.1633, clip_loss:0.0000, total_loss:0.1633 [WARMUP]
[2025/12/01 01:43:18] Epoch[8/300], Step[101/173], lr:3.27e-04, PSNR:17.38, pixel_loss:0.1651, clip_loss:0.0000, total_loss:0.1651 [WARMUP]
[2025/12/01 01:43:29] Epoch[8/300], Step[151/173], lr:3.36e-04, PSNR:17.45, pixel_loss:0.1648, clip_loss:0.0000, total_loss:0.1648 [WARMUP]
[2025/12/01 01:43:34] Epoch[8/300], Step[173/173], lr:3.40e-04, PSNR:17.46, pixel_loss:0.1642, clip_loss:0.0000, total_loss:0.1642 [WARMUP]
[2025/12/01 01:45:08] Epoch[9/300], Step[1/173], lr:3.40e-04, PSNR:17.08, pixel_loss:0.1758, clip_loss:0.0000, total_loss:0.1758 [WARMUP]
[2025/12/01 01:45:22] Epoch[9/300], Step[51/173], lr:3.49e-04, PSNR:17.75, pixel_loss:0.1588, clip_loss:0.0000, total_loss:0.1588 [WARMUP]
[2025/12/01 01:45:35] Epoch[9/300], Step[101/173], lr:3.57e-04, PSNR:17.81, pixel_loss:0.1572, clip_loss:0.0000, total_loss:0.1572 [WARMUP]
[2025/12/01 01:45:44] Epoch[9/300], Step[151/173], lr:3.66e-04, PSNR:17.83, pixel_loss:0.1570, clip_loss:0.0000, total_loss:0.1570 [WARMUP]
[2025/12/01 01:45:47] Epoch[9/300], Step[173/173], lr:3.70e-04, PSNR:17.84, pixel_loss:0.1571, clip_loss:0.0000, total_loss:0.1571 [WARMUP]
[2025/12/01 01:47:09] Epoch[10/300], Step[1/173], lr:3.70e-04, PSNR:18.92, pixel_loss:0.1240, clip_loss:0.0000, total_loss:0.1240 [WARMUP]
[2025/12/01 01:47:26] Epoch[10/300], Step[51/173], lr:3.79e-04, PSNR:18.19, pixel_loss:0.1497, clip_loss:0.0000, total_loss:0.1497 [WARMUP]
[2025/12/01 01:47:36] Epoch[10/300], Step[101/173], lr:3.87e-04, PSNR:18.3, pixel_loss:0.1480, clip_loss:0.0000, total_loss:0.1480 [WARMUP]
[2025/12/01 01:47:48] Epoch[10/300], Step[151/173], lr:3.96e-04, PSNR:18.28, pixel_loss:0.1498, clip_loss:0.0000, total_loss:0.1498 [WARMUP]
