frame_idx,split,mean_psnr,min_psnr,max_psnr,std_psnr,mean_ssim,min_ssim,max_ssim,std_ssim,mean_clip_similarity,min_clip_similarity,max_clip_similarity,std_clip_similarity
0,train,33.496451474810335,30.147489629048238,36.57326913520774,2.3940550327572545,0.9446588456630707,0.9022036790847778,0.9677605032920837,0.023681913038308095,0.9796766862273216,0.9720968008041382,0.9890586137771606,0.005716006310704771
1,train,33.83864122449515,30.65446529860939,36.85548700037887,2.3853141659945676,0.9473159834742546,0.9082602858543396,0.9686868190765381,0.02211045279706237,0.9876345992088318,0.982754111289978,0.9936144948005676,0.0035004046747080858
2,train,33.41631460960979,30.52308653175504,36.10858720894302,2.389925526062164,0.9458575621247292,0.9057199954986572,0.9674472808837891,0.02194317281386716,0.9874625578522682,0.980297327041626,0.9921756982803345,0.004029800425810164
3,train,33.040343713564226,29.786922705659272,36.22498994580368,2.6771317373496957,0.9437159821391106,0.9014084935188293,0.9657330513000488,0.022950712562218988,0.9885852634906769,0.984626054763794,0.9917000532150269,0.0024458075549131375
4,train,32.77532850003179,29.690524387178186,36.20183282349872,2.6401413718711155,0.9416243731975555,0.8945619463920593,0.9633064866065979,0.023879742578704437,0.9850068390369415,0.9751428365707397,0.9913824796676636,0.0064028450049303295
5,train,33.03593621100522,30.218041505415663,36.641070975355504,2.4614866286231596,0.9445444121956825,0.9084809422492981,0.966072678565979,0.020001520588306385,0.9884936437010765,0.9815440773963928,0.9939482808113098,0.004737024281909412
6,train,32.968542810426975,30.19441060398497,35.91266783357773,2.32947591584336,0.9438871666789055,0.9002750515937805,0.962084174156189,0.021232869288357686,0.9892813488841057,0.9837024211883545,0.9925300478935242,0.002981845527096482
7,train,32.59113660398386,29.135710997323372,35.62065107767615,2.4776870804714437,0.9435960277915001,0.9047573804855347,0.9623116254806519,0.02011468982689419,0.9904611706733704,0.9872721433639526,0.9926633834838867,0.0019437717731649491
8,train,32.43509290597168,29.78053007119176,35.615442287046555,2.3595922609517466,0.9414810314774513,0.9047029614448547,0.9579329490661621,0.019030756780514923,0.9905343353748322,0.9877028465270996,0.9931874871253967,0.001657470225657073
9,val,21.853651618709147,19.638309969591504,25.01476307643037,1.6997619770721402,0.7575714737176895,0.5995599627494812,0.8374466300010681,0.07345248732865498,0.9763425439596176,0.9549312591552734,0.9857922196388245,0.010399077810024731
10,train,32.615750196252876,30.303671849255146,35.93192587283014,2.1829257862923312,0.9419047087430954,0.9035802483558655,0.9577925801277161,0.019082476295275527,0.9905435517430305,0.9877469539642334,0.9922675490379333,0.0015266150600529332
11,train,32.62801784590712,30.257487558681223,35.674777599397494,2.0949023690539263,0.9422686025500298,0.9052702784538269,0.9553883671760559,0.017465685925540084,0.9902245253324509,0.9849780797958374,0.9920461177825928,0.0023929219112554536
12,train,32.24570969455432,30.004679948322135,35.48005824496072,2.0591990408820817,0.9393530040979385,0.8992218971252441,0.9543893337249756,0.019265696231884077,0.9907191693782806,0.9858266115188599,0.9947425127029419,0.0027273651595302187
13,train,32.4372402732419,29.7856068656799,35.5746402327952,1.9720296933192027,0.9430742561817169,0.912489652633667,0.9566531181335449,0.015412952698192478,0.9906275793910027,0.9821497201919556,0.9931578636169434,0.0035308882995571766
14,train,32.31561681679774,29.69933562805806,35.70031190375498,1.9283556879910848,0.9422264918684959,0.914760947227478,0.9554411768913269,0.014215609974920903,0.9917255267500877,0.9870495796203613,0.9939269423484802,0.002296152766478158
15,train,32.55132683258607,31.013334426680753,35.540711062098254,1.6277984417388711,0.9437214806675911,0.9205486178398132,0.9567911624908447,0.013088130058580916,0.9909121468663216,0.9881337881088257,0.993078351020813,0.001675131840960687
16,train,32.21991768122301,29.450201178379423,34.97975777710086,1.7135443495692102,0.9411503970623016,0.917415976524353,0.951904296875,0.01172165513536583,0.9907920137047768,0.98720782995224,0.9928878545761108,0.0016639315262076155
17,train,32.01278351482166,29.587161884759155,35.488245392146794,1.9224397748019073,0.9426509961485863,0.923409104347229,0.9539373517036438,0.01125140376360469,0.9909909889101982,0.9882950782775879,0.9934751391410828,0.002085137783711924
18,train,31.71388950029847,29.443855740547495,35.01009176510986,1.6872462803136892,0.940002515912056,0.9189323782920837,0.9560835957527161,0.012677632793415466,0.989327572286129,0.9818911552429199,0.993781328201294,0.0038793250529788902
19,val,20.723291780157652,17.144934997216364,22.35960626388243,1.568209573246955,0.7279737964272499,0.6143412590026855,0.7981128096580505,0.05226594256752028,0.9666171222925186,0.9412674903869629,0.9855690002441406,0.013896827069248505
20,train,31.35701209733277,29.14038738155387,33.46414990975966,1.3678346329189068,0.9359674006700516,0.9176781177520752,0.9480530619621277,0.011522379408255705,0.9870693907141685,0.9724292159080505,0.9925060272216797,0.006750791532831572
21,train,32.05101300717282,30.295054900321293,33.6117861985614,1.1050988016811953,0.9424789026379585,0.9277205467224121,0.9534157514572144,0.009704548774232704,0.9896166771650314,0.9823346138000488,0.9940898418426514,0.003678838361132734
22,train,32.1342539887928,30.821246140778445,33.44768057101251,0.9638659575363324,0.9431464821100235,0.927135705947876,0.9558043479919434,0.010413004894856429,0.9901718869805336,0.9873344898223877,0.9927664995193481,0.0016949482091060707
23,train,32.30356524019778,30.146496804598662,34.51962753270112,1.544629849355243,0.9440707191824913,0.9302659034729004,0.9555248022079468,0.009104187596007847,0.9898368865251541,0.9819352626800537,0.9947357177734375,0.00407738712099933
